dataset_id,dataset_name,category,url,expected_fields,business_use,update_frequency,priority,status,rig_score_weight
production_by_well,Producción de petróleo y gas por pozo,Production,http://datos.energia.gob.ar/dataset/produccion-de-petroleo-y-gas-por-pozo,"operator, area, well, oil, gas, water, date","Rig Demand v2, Workover, Artificial Lift",monthly,critical,registry_only,15
well_drilling,Perforación de pozos de petróleo y gas,Drilling,http://datos.energia.gob.ar/dataset/perforacion-de-pozos-de-petroleo-y-gas/archivo/af6838ef-f675-4409-ac6a-e7c391a5dbab,"operator, area, well, spud, rig, type","Rig Demand v2, Tender Probability",monthly,critical,registry_only,40
well_status,Estado de pozos de petróleo y gas,Wells,http://datos.energia.gob.ar/dataset/estado-de-pozos-de-petroleo-y-gas,"well, status, operator, area","Workover, Reactivation, Rig Demand v2",monthly,high,registry_only,10
well_trajectory,Trayectoria de pozos,Wells,http://datos.energia.gob.ar/dataset/trayectoria-de-pozos,"well, vertical/horizontal, trajectory, lateral length","Walking rigs, shale complexity, rig specification",periodic,high,registry_only,10
frac_data,Datos de fractura de pozos - Adjunto IV,Frac,http://datos.energia.gob.ar/dataset/datos-de-fractura-de-pozos-adjunto-iv,"well, stages, proppant, water, date","Frac intensity, e-frac, completion activity",monthly/periodic,critical,registry_only,20
upstream_investment,Inversiones en mercado de hidrocarburos upstream,CAPEX,http://datos.energia.gob.ar/dataset/inversiones-en-mercado-de-hidrocarburos-upstream,"operator, basin, amount, year","Tender Probability, CAPEX signal",quarterly/annual,critical,registry_only,15
seismic_3d,Exploración hidrocarburos sísmicas 3D,Exploration,http://datos.energia.gob.ar/dataset/exploracion-hidrocarburos-sismicas-3d,"operator, area, survey, km2, date",Exploration future activity,periodic,medium,registry_only,10
environmental_activity,Actividad ambiental petróleo y gas,Permits/EIA,http://datos.energia.gob.ar/dataset/actividad-ambiental-petroleo-y-gas/archivo/7b8583fe-8994-4efa-9fbf-79c4a3f2f467,"operator, project, area, permit, date","Permit pipeline, EIA signal",periodic,high,registry_only,25
company_registry,Registro de empresas de hidrocarburos del upstream,Companies,http://datos.energia.gob.ar/dataset/registro-de-empresas-de-hidrocarburos-del-upstream,"company, role, registry status",Operator/contractor validation,periodic,high,registry_only,0
reservoir_depth_production,Producción hidrocarburos yacimientos según profundidad promedio,Reservoir,http://datos.energia.gob.ar/dataset/produccion-hidrocarburos-yacimientos-segun-profundidad-promedio,"field, depth, production",Operational complexity,periodic,medium,registry_only,5
hydrocarbon_maps,Mapas de exploración y producción de hidrocarburos,GIS,http://datos.energia.gob.ar/dataset/mapas-de-explortacion-y-produccion-de-hidrocarburos,gis layers,National GIS context,periodic,high,registry_only,0
vaca_muerta_map,Mapa de Vaca Muerta,GIS,http://datos.energia.gob.ar/dataset/mapa-de-vaca-muerta,vaca muerta polygon/context,VM official context,periodic,high,registry_only,0
venting_satellite,Detección satelital de venteos,Venting,http://datos.energia.gob.ar/dataset/deteccion-satelital-de-venteos,"event, location, detection, date",Venting Opportunity Score,periodic,critical,registry_only,20
venting_declared_points,Producción hidrocarburos - puntos de venteo declarados,Venting,http://datos.energia.gob.ar/dataset/produccion-hidrocarburos-puntos-de-venteo-declarados,"point, operator, volume, location",Venting Opportunity Score,periodic,critical,registry_only,20
sig_energia,SIG Energía visor nacional,GIS,https://sig.energia.gob.ar/visor/visorsig.php?t=4,national gis portal,National GIS reference,manual/portal,critical,portal,0
